generation, best, average, worst
1,-2077.82944527649,-8124.63546199414,-14877.1967220163
2,-1451.88362691158,-5127.20452185799,-10406.1649935138
3,-507.681912866014,-3805.5375024158,-9279.59617362085
4,-319.309884182599,-2476.16023562356,-8953.40440695882
5,2506.84020956781,-1753.59119189101,-8269.21045783261
6,2741.09124770359,-977.203657890969,-6515.23053061464
7,2842.76860235144,569.105341267111,-5856.5770321606
8,3596.14126374849,2203.24055064964,-416.781535166323
9,4165.57872538019,2514.53445032955,-463.080590148598
10,4619.16140816071,2608.22374354831,-349.41798227228
11,5093.09342148288,3083.87269634515,-46.8088385645824
12,5093.09342148288,3615.76061769341,-23.3262873686435
13,5093.09342148288,4110.48653524745,1190.19887518347
14,5273.34770031802,4367.68592829947,567.205445126729
15,5430.53812922171,4528.26537755515,477.742070279342
16,5570.18306624656,4796.32784531957,2273.0763218016
17,5570.18306624656,4982.03649404731,2721.96853565182
18,5686.02115801988,5209.91162841204,1245.63001072046
19,5686.02115801988,5423.45276398197,3360.11944455035
20,5852.04459711565,5171.20990353082,2970.38579600058
21,5986.70896143795,5190.98370545029,1290.21930895064
22,6057.68889524596,5429.0187106719,2851.23988147766
23,6057.68889524596,5547.45991509063,2731.12985025081
24,6060.47051247862,5478.45297216767,2276.37741248917
25,6571.8578455812,5662.11867094879,3363.35742393294
26,6571.8578455812,5765.59033122283,2594.16620139512
27,6571.8578455812,5836.59894521261,1094.6312239796
28,6651.38868273162,5662.40189220816,2875.41281737298
29,8187.27937640183,6316.76970864599,4045.37166771593
30,8187.27937640183,6648.00816100542,4349.85167919117
31,8379.51177762154,7114.4058620293,4645.83162979284
32,8379.51177762154,8038.35431282083,5922.60787545007
33,8379.51177762154,8143.22758569925,6113.61858428457
34,8379.51177762154,8172.7297650427,5609.48886906151
35,8379.51177762154,8379.51177762155,8379.51177762154
36,8379.51177762154,8362.3941504171,6667.74905717636
37,8379.51177762154,8379.51177762155,8379.51177762154
38,8379.51177762154,8321.88971004737,5303.16474459141
39,8379.51177762154,8373.11980142708,7910.82460035326
40,8379.51177762154,8379.27781329379,8356.1153448456
41,8379.51177762154,8379.51177762155,8379.51177762154
42,8379.51177762154,8317.25621416493,5228.74250416522
43,8712.46072913429,8373.34493937339,7708.70098902446
44,8712.46072913429,8379.28384813926,4235.49589133851
45,8747.30998463077,8426.24191169155,5706.05074641651
46,8850.61240235294,8623.45655853954,6227.23303298974
47,8939.958824467,8611.46601603361,6080.2324163368
48,8939.958824467,8692.9175691454,6504.48725290007
49,9172.13232225903,8398.42675303057,4687.97972093209
50,9178.8485737687,8617.22019616658,5377.41982445651
51,9178.8485737687,8605.26137220195,5831.41767455448
52,9178.8485737687,8840.25189153533,5577.24728201834
53,9178.8485737687,8626.85337396673,6014.83693359862
54,9178.8485737687,9094.36470883583,6311.68571022231
55,9178.8485737687,9152.70956647582,6564.9478444797
56,9178.8485737687,9149.66487225017,6260.47842191458
57,9178.8485737687,9178.84857376871,9178.8485737687
58,9178.8485737687,9165.91035908577,7885.02710547476
59,9178.8485737687,9178.84857376871,9178.8485737687
60,9178.8485737687,9168.75584635852,8169.57583274904
61,9178.8485737687,9126.39089511426,4881.68680477809
62,9178.8485737687,9178.84857376871,9178.8485737687
63,9178.8485737687,9178.84857376871,9178.8485737687
64,9178.8485737687,9178.84857376871,9178.8485737687
65,9178.8485737687,9155.05613451305,6799.60464820246
66,9178.8485737687,9129.28210774869,5007.55370339191
67,9178.8485737687,9165.14281924804,7808.2731217012
68,9178.8485737687,9178.84857376871,9178.8485737687
69,9178.8485737687,9178.84857376871,9178.8485737687
70,9178.8485737687,9178.84857376871,9178.8485737687
71,9196.90295750101,9123.26540846166,5402.80769985649
72,9178.8485737687,9056.4049122094,6398.75389694686
73,9178.8485737687,9178.84857376871,9178.8485737687
74,9178.8485737687,9178.84857376871,9178.8485737687
75,9178.8485737687,9171.91903093679,8485.89429057606
76,9178.8485737687,9178.84857376871,9178.8485737687
77,9178.8485737687,9153.50799670839,6644.79086773661
78,9180.38405109688,9178.86392854199,9178.8485737687
79,9182.14279158349,9178.26207253887,9106.15589167229
80,9182.14279158349,9157.00448795463,7936.58546846563
81,9182.14279158349,9174.61044050534,8786.4208158004
82,9182.14279158349,9174.77730773437,8500.66385511183
83,9182.14279158349,9157.35459670425,8157.25110736467
84,9182.14279158349,9176.79159285602,8647.02291883893
85,9182.14279158349,9153.33577061771,6301.44069500727
86,9182.14279158349,9182.14279158347,9182.14279158349
87,9182.14279158349,9139.93243869321,6721.7123951691
88,9182.14279158349,9182.14279158347,9182.14279158349
89,9182.14279158349,9182.14279158347,9182.14279158349
90,9182.14279158349,9182.14279158347,9182.14279158349
91,9182.14279158349,9165.3504410293,7502.90773616617
92,9182.14279158349,9167.83527975681,7751.39160891714
93,9182.14279158349,9130.14673705689,3982.53733892569
94,9182.14279158349,9182.14279158347,9182.14279158349
95,9182.14279158349,9163.09346026732,7277.20965996862
96,9182.14279158349,9145.63382196949,5531.24583018557
97,9309.51801474838,9176.64828008676,8505.31641874769
98,9309.51801474838,9156.55518849157,7777.51018334386
99,9309.51801474838,9203.15228681935,8272.39038565096
100,9309.51801474838,9288.7153385832,8630.37785304517
