generation, best, average, worst
1;-2177,29959548253;-8311,99687382224;-14093,7968340193
2;-1868,21025503726;-5357,15985620181;-11145,1184980727
3;-803,523990165369;-4020,49780439197;-11472,8912529717
4;512,857608975144;-2775,14271659304;-9063,80061284686
5;512,857608975144;-2106,03267857676;-6844,98643898685
6;1254,73633060553;-1672,29881259308;-6884,48168258911
7;2410,65727259951;-767,15477438779;-7158,32377500021
8;2410,65727259951;112,280969556012;-3712,75251655462
9;3043,604631155;1040,3875027477;-5204,59661902105
10;3249,25533659076;1497,54176972184;-3808,01930564273
11;3785,63279983699;2104,94806823158;-4265,08612947264
12;5316,1609407399;2487,90716070382;-2884,67113654646
13;5316,1609407399;2935,86570379223;-1493,03055556625
14;5588,57289559528;3483,94598394638;16,7971181202411
15;5588,57289559528;3867,37438986008;-677,230747325975
16;5659,78952147129;5090,0002751971;2571,99807848769
17;5675,37030726423;5200,39889291737;854,404518819039
18;5954,73262922581;5398,0154543424;2934,24148930853
19;6143,69264188151;5561,45175706115;2282,79317323207
20;6749,47301843634;5494,95007681043;1597,57584849208
21;7052,29451841523;5702,86969108065;2506,27246771238
22;7052,29451841523;6077,706368221;2078,69173992602
23;7052,29451841523;6479,53236147217;3398,65607952705
24;7189,11685797743;6758,4046672371;4141,61485404384
25;7189,11685797743;6861,99419382715;4209,56396969519
26;7421,35887560351;6667,70607757145;2030,70704071313
27;7599,74307800408;6825,09731127153;4339,48760921933
28;7599,74307800408;7067,17429758619;4532,55901811105
29;7973,13066101072;7070,10391252796;3394,10532520905
30;7973,13066101072;7163,04018125484;3940,58509463546
31;8264,10512876078;7302,07388062084;4546,0440406042
32;8479,05883159438;7702,62835915463;4701,62070306677
33;8479,05883159438;7768,07905772921;4161,60690721551
34;8963,06651017065;7899,36284294937;4322,66837900825
35;8963,06651017065;7820,38615225024;5157,80015578927
36;8990,36435480208;8309,84936369343;5822,26774603255
37;9140,39480778306;8482,04001862654;6096,35992216701
38;9551,25974768513;8879,42690924849;6930,91439761147
39;10079,4953087354;8800,46102077122;5294,17926710025
40;10081,4336013192;9114,76009622382;6446,96190164686
41;10081,4336013192;9121,25336068105;6131,8079867761
42;10213,6421064958;9504,51270321745;6912,81236603778
43;10213,6421064958;9515,77060787749;5027,05188419161
44;10213,6421064958;9689,42343213454;6610,12414610818
45;10213,6421064958;9867,62842090629;6975,77693027652
46;10213,6421064958;10194,38427955;9267,17287904489
47;10213,6421064958;10209,8140907276;9830,8405296791
48;10213,6421064958;10213,6421064958;10213,6421064958
49;10213,6421064958;10209,1644266759;9765,87412450419
50;10213,6421064958;10205,3854942696;9387,98088387619
51;10213,6421064958;10181,2425454341;6973,68600032886
52;10213,6421064958;10200,0455969866;8853,99115558119
53;10213,6421064958;10213,6421064958;10213,6421064958
54;10380,3936165;10215,3096215958;10213,6421064958
55;10380,3936165;10198,777904141;9299,42786189577
56;10806,9158569108;10142,3726318111;7769,37890213577
57;10806,9158569108;10261,218987339;8452,19969161812
58;10877,9431008963;10177,5289768549;7977,26120985254
59;11020,2143758356;10264,0047515331;7597,41165448448
60;11020,2143758356;10693,47894555;8036,50403352925
61;11191,2703543391;10804,038096069;8219,55018132567
62;11191,2703543391;10859,2298698386;8446,38025790991
63;11243,4805944446;11001,6260512776;9479,57907534664
64;11243,4805944446;11124,9663343534;9014,58958611545
65;11243,4805944446;11210,0660407771;11191,2703543391
66;11243,4805944446;11240,3479800383;11191,2703543391
67;11243,4805944446;11243,4805944446;11243,4805944446
68;11243,4805944446;11243,4805944446;11243,4805944446
69;11243,4805944446;11243,4805944446;11243,4805944446
70;11243,4805944446;11243,4805944446;11243,4805944446
71;11243,4805944446;11243,4805944446;11243,4805944446
72;11243,4805944446;11183,372721961;7545,3759528741
73;11243,4805944446;11228,7900306132;9774,42421129548
74;11243,4805944446;11208,7406854776;7926,19299236564
75;11243,4805944446;11195,5606207613;7545,3759528741
76;11243,4805944446;11191,0424360338;6653,33537073732
77;11243,4805944446;11220,2654477022;8921,96592020437
78;11243,4805944446;11243,4805944446;11243,4805944446
79;11243,4805944446;11243,4778154377;11243,2026937461
80;11243,4805944446;11243,4805944446;11243,4805944446
81;11243,4805944446;11243,4805944446;11243,4805944446
82;11243,4805944446;11243,4805944446;11243,4805944446
83;11243,4805944446;11243,4805944446;11243,4805944446
84;11243,4805944446;11235,0024988992;10395,6710398967
85;11243,4805944446;11231,2694160109;10022,3627510754
86;11243,4805944446;11225,5700562055;9833,27557724232
87;11243,4805944446;11234,789917509;10374,4129008802
88;11243,4805944446;11243,4805944446;11243,4805944446
89;11243,4805944446;11203,9455268617;7289,97383614661
90;11243,4805944446;11229,2941963621;9824,84078619455
91;11243,4805944446;11236,8993326541;10585,3544153856
92;11243,4805944446;11214,1527823024;8310,69938021997
93;11243,4805944446;11238,8268717097;11004,9927154964
94;11243,4805944446;11243,4805944446;11243,4805944446
95;11243,4805944446;11230,8661586892;10041,9185954114
96;11243,4805944446;11239,1080065344;10806,2218034167
97;11340,1291872235;11243,1161194492;11110,3845021219
98;11340,1291872235;11252,1789677947;11243,4805944446
99;11340,1291872235;11277,9280659368;10618,7212102695
100;11340,1291872235;11304,3543333781;7762,64380267846
